iter	Passed	Remaining
926	7023	553
927	7030	545
928	7038	537
929	7044	530
930	7051	522
931	7058	515
932	7066	507
933	7073	499
934	7080	492
935	7088	484
936	7096	477
937	7102	469
938	7110	461
939	7117	454
940	7124	446
941	7131	439
942	7137	431
943	7145	423
944	7154	416
945	7161	408
946	7167	401
947	7175	393
948	7183	386
949	7192	378
950	7200	370
951	7208	363
952	7217	355
953	7224	348
954	7233	340
955	7240	333
956	7247	325
957	7254	318
958	7262	310
959	7270	302
960	7277	295
961	7285	287
962	7292	280
963	7299	272
964	7306	265
965	7314	257
966	7323	249
967	7331	242
968	7339	234
969	7347	227
970	7354	219
971	7362	212
972	7371	204
973	7378	196
974	7385	189
975	7392	181
976	7400	174
977	7408	166
978	7415	159
979	7421	151
980	7428	143
981	7435	136
982	7441	128
983	7448	121
984	7455	113
985	7463	105
986	7471	98
987	7479	90
988	7487	83
989	7496	75
990	7505	68
991	7513	60
992	7522	53
993	7532	45
994	7543	37
995	7553	30
996	7565	22
997	7573	15
998	7581	7
999	7591	0
